World Rank, Total Score,PUB,Institution
1,283.5,51.8,university of cambridge
2,255.8,95.8,xian jiao tong university
2,255.8,49,massachusetts institute of technology (mit)
4,252.4,27.2,"university of california, san diego"
5,251.4,36.7,stanford university
6,248.8,34.9,northwestern university
7,246.3,53.3,texas a&m university
8,245.8,90.1,tsinghua university
9,240.6,100,shanghai jiao tong university
10,234.4,23.2,california institute of technology
11,227.2,60.1,university of michigan-ann arbor
12,224.6,23.5,harvard university
13,219.5,39.2,"university of minnesota, twin cities"
14,217.2,53.7,korea advanced institute of science and technology
15,211.5,84,harbin institute of technology
16,209.1,51,imperial college london
17,208.6,39.6,"university of california, berkeley"
18,204.7,49.9,university of illinois at urbana-champaign
19,203.9,71.4,huazhong university of science and technology
20,201.7,78.7,beihang university
21,199.7,36.1,the university of texas at austin
22,198.8,64.6,georgia institute of technology
23,198.3,71.4,zhejiang university
24,195.6,48,university of science and technology of china
25,194.4,72.7,dalian university of technology
26,194.2,62.4,purdue university - west lafayette
27,190.2,57.2,nanyang technological university
28,188.4,42,"university of maryland, college park"
29,187,59.7,the hong kong polytechnic university
30,185.1,55.1,polytechnic institute of milan
31,182.6,53.1,delft university of technology
32,182.5,29.3,princeton university
33,180.7,36.7,king abdulaziz university
34,179.7,69,tianjin university
35,178.1,28.5,rensselaer polytechnic institute
36,175.3,63,chongqing university
37,174.7,30.1,carnegie mellon university
38,174.3,40.4,university of southampton
39,173.6,52.8,national university of singapore
40,173.3,66.7,nanjing university of aeronautics and astronautics
41,172.3,27,cornell university
42,171.3,23.3,quaid-i-azam university
43,171.1,47,swiss federal institute of technology zurich
44,170.8,48.4,kth royal institute of technology
45,170.1,45.7,the university of new south wales
46,169.4,41.2,ku leuven
47,168.8,74.5,islamic azad university
48,168.7,27.9,university of colorado at boulder
49,168.6,65,northwestern polytechnical university
50,168.4,34.6,university of florida
51-75, ,28.8,arizona state university
51-75, ,43.3,city university of hong kong
51-75, ,25.1,columbia university
51-75, ,34.5,eindhoven university of technology
51-75, ,48.9,indian institute of technology madras
51-75, ,47.8,insa lyon
51-75, ,27,king abdullah university of science and technology
51-75, ,41.4,mcgill university
51-75, ,41.5,monash university
51-75, ,49.1,pennsylvania state university - university park
51-75, ,41.9,rwth aachen university
51-75, ,53.6,seoul national university
51-75, ,56,south china university of technology
51-75, ,51.5,southeast university
51-75, ,38.3,swiss federal institute of technology lausanne
51-75, ,51.4,technical university of denmark
51-75, ,45.5,the ohio state university - columbus
51-75, ,42.6,the university of sheffield
51-75, ,58,tongji university
51-75, ,35.9,university of bristol
51-75, ,32,university of connecticut
51-75, ,38.9,university of stuttgart
51-75, ,25.8,university of tennessee - knoxville
51-75, ,39.1,university of toronto
51-75, ,45.5,virginia polytechnic institute and state university
76-100, ,36.3,aix marseille university
76-100, ,57.3,amirkabir university of technology
76-100, ,54.4,beijing institute of technology
76-100, ,33.2,centralesupelec
76-100, ,53.8,hanyang university
76-100, ,48.3,hunan university
76-100, ,49.7,indian institute of technology kharagpur
76-100, ,38.3,karlsruhe institute of technology (kit)
76-100, ,35.3,lund university
76-100, ,31.4,paul sabatier university (toulouse 3)
76-100, ,33.4,peking university
76-100, ,34.7,sapienza university of rome
76-100, ,34.4,technical university darmstadt
76-100, ,30,the university of auckland
76-100, ,41.4,the university of manchester
76-100, ,43.7,the university of tokyo
76-100, ,36.6,tohoku university
76-100, ,28.7,university of chicago
76-100, ,32.2,university of liverpool
76-100, ,35.9,"university of lorraineadded on september 15, 2018"
76-100, ,39.5,university of malaya
76-100, ,45.5,university of nottingham
76-100, ,32.5,university of oxford
76-100, ,39.7,university of science and technology beijing
76-100, ,32.1,university of sydney
76-100, ,34.4,university of twente
101-150, ,44.7,beijing jiaotong university
101-150, ,43.9,beijing university of technology
101-150, ,41.1,chalmers university of technology
101-150, ,42,cranfield university
101-150, ,35.3,ecole centrale lyon
101-150, ,33.8,ghent university
101-150, ,39.9,indian institute of science
101-150, ,38.3,indian institute of technology kanpur
101-150, ,57.8,iran university of science & technology
101-150, ,26.9,johns hopkins university
101-150, ,31.9,khalifa university
101-150, ,24.1,lehigh university
101-150, ,36,michigan state university
101-150, ,39.8,nanjing university of science and technology
101-150, ,51.5,national cheng kung university
101-150, ,25.7,national polytechnic institute of toulouse
101-150, ,38.1,national taiwan university
101-150, ,33.9,north carolina state university - raleigh
101-150, ,39.1,north china electric power university
101-150, ,50.4,northeastern university (shenyang)
101-150, ,43.9,norwegian university of science and technology - ntnu
101-150, ,36.2,polytechnic university of madrid
101-150, ,44.3,polytechnic university of turin
101-150, ,40.9,polytechnic university of valencia
101-150, ,54.8,pusan national university
101-150, ,38.4,rmit university
101-150, ,51.8,shandong university
101-150, ,52,sharif university of technology
101-150, ,48.4,southwest jiaotong university
101-150, ,36.4,technical university munich
101-150, ,32.4,technical university of berlin
101-150, ,33,technion-israel institute of technology
101-150, ,33,the hong kong university of science and technology
101-150, ,27.9,the university of adelaide
101-150, ,34.3,the university of queensland
101-150, ,34.3,universite de lille
101-150, ,32.4,université grenoble alpes
101-150, ,35.5,university of alberta
101-150, ,32.8,university of bologna
101-150, ,32.8,university of british columbia
101-150, ,27.4,"university of california, los angeles"
101-150, ,25.4,university of central florida
101-150, ,43.6,university of lisbon
101-150, ,37.4,university of naples federico ii
101-150, ,41.8,university of padua
101-150, ,29.1,university of southern california
101-150, ,57.8,university of tehran
101-150, ,38.9,university of waterloo
101-150, ,38.7,university of wisconsin - madison
101-150, ,29.9,university of wollongong
151-200, ,33,agh university of science and technology
151-200, ,31.5,babol noshirvani university of technology
151-200, ,34.1,brunel university
151-200, ,27.2,carlos iii university of madrid
151-200, ,42.9,central south university
151-200, ,42,china university of mining and technology
151-200, ,32.8,concordia university
151-200, ,24,duke university
151-200, ,38.1,ecole nationale superieure d'arts et metiers
151-200, ,30.3,ecole nationale superieure de mecanique et d'aerotechnique
151-200, ,43.2,harbin engineering university
151-200, ,34.8,hefei university of technology
151-200, ,36,hohai university
151-200, ,39.7,indian institute of technology bombay
151-200, ,40.4,indian institute of technology delhi
151-200, ,39.7,indian institute of technology roorkee
151-200, ,34.3,inha university
151-200, ,31.1,institut national polytechnique de grenoble
151-200, ,30.4,iowa state university
151-200, ,35.8,king fahd university of petroleum & minerals
151-200, ,26.1,king mongkuts university of technology thonburi
151-200, ,40.5,korea university
151-200, ,30.3,kyoto university
151-200, ,36.3,kyushu university
151-200, ,40.3,loughborough university
151-200, ,31.5,louisiana state university - baton rouge
151-200, ,41.6,national university of defense technology
151-200, ,22.9,northeastern university (boston)
151-200, ,33.1,pohang university of science and technology
151-200, ,33.6,polytechnic university of catalonia
151-200, ,24.2,rice university
151-200, ,29.2,"rutgers, the state university of new jersey - new brunswick"
151-200, ,33.1,ryerson university
151-200, ,43,shanghai university
151-200, ,30.8,the university of hong kong
151-200, ,23.1,the university of melbourne
151-200, ,23.7,"the university of newcastle, australia"
151-200, ,24.5,the university of western australia
151-200, ,27.1,ulsan national institute of science and technology
151-200, ,38.4,universiti teknologi malaysia
151-200, ,31,university of bath
151-200, ,29.7,university of electronic science and technology of china
151-200, ,27.6,university of erlangen-nuremberg
151-200, ,33.8,university of leeds
151-200, ,42.8,university of ljubljana
151-200, ,26.1,university of parma
151-200, ,36.4,university of porto
151-200, ,44.1,university of sao paulo
151-200, ,25.6,university of virginia
151-200, ,41.4,wuhan university of technology
201-300, ,28,aalborg university
201-300, ,29.7,aalto university
201-300, ,47.1,anna university
201-300, ,26.7,auburn university
201-300, ,23.5,brigham young university
201-300, ,28,budapest university of technology and economics
201-300, ,28.1,cardiff university
201-300, ,30.2,china university of petroleum (huadong)
201-300, ,25.5,claude bernard university lyon 1
201-300, ,31.3,clemson university
201-300, ,28.5,curtin university
201-300, ,23.3,deakin university
201-300, ,30.7,east china university of science and technology
201-300, ,32.3,ecole de technologie superieure - canada
201-300, ,26.8,federal university of rio grande do sul
201-300, ,32.7,federal university of santa catarina
201-300, ,37.1,ferdowsi university of mashhad
201-300, ,24.4,heriot-watt university
201-300, ,26.2,hokkaido university
201-300, ,31,indian institute of technology guwahati
201-300, ,39.1,isfahan university of technology
201-300, ,31.2,jadavpur university
201-300, ,42.8,jiangsu university
201-300, ,45.3,jilin university
201-300, ,40.8,k. n. toosi university of technology
201-300, ,32.1,king saud university
201-300, ,27.3,kyung hee university
201-300, ,23.1,linkoping university
201-300, ,33.9,lulea university of technology
201-300, ,26.2,mcmaster university
201-300, ,26.6,mines paristech
201-300, ,25.8,missouri university of science and technology
201-300, ,29.8,nagoya university
201-300, ,32.9,national chiao tung university
201-300, ,35.9,national kaohsiung university of science & technology
201-300, ,29.9,national taipei university of technology
201-300, ,39.9,national taiwan university of science and technology
201-300, ,29.2,national technical university of athens
201-300, ,34.1,national tsing hua university
201-300, ,28.1,national university of malaysia
201-300, ,27.5,newcastle university
201-300, ,25.9,oregon state university
201-300, ,31.1,osaka university
201-300, ,25.3,politecnico di bari
201-300, ,24,poznan university of technology
201-300, ,25,queensland university of technology
201-300, ,34.4,sichuan university
201-300, ,24.3,sorbonne university
201-300, ,36.4,tarbiat modares university
201-300, ,26.4,technical university of braunschweig
201-300, ,24.9,technical university of dortmund
201-300, ,24.5,the chinese university of hong kong
201-300, ,25.3,the university of akron
201-300, ,27.3,the university of alabama - tuscaloosa
201-300, ,26.5,the university of calgary
201-300, ,34.7,tokyo institute of technology
201-300, ,23.2,trinity college dublin
201-300, ,33.4,tu dresden
201-300, ,27.6,unesp
201-300, ,25.5,universite de valenciennes et du hainaut-cambresis
201-300, ,31.8,university of birmingham
201-300, ,25.6,"university of california, irvine"
201-300, ,28.6,university of cincinnati
201-300, ,25.8,university of duisburg-essen
201-300, ,28.9,university of florence
201-300, ,23.4,university of genoa
201-300, ,23,university of guilan
201-300, ,28.1,university of hannover
201-300, ,26.3,university of illinois at chicago
201-300, ,23,university of kentucky
201-300, ,23.3,university of liege
201-300, ,23.5,university of minho
201-300, ,29.1,university of missouri - columbia
201-300, ,23.3,university of modena and reggio emilia
201-300, ,33.1,university of montreal
201-300, ,24.6,university of notre dame
201-300, ,28.5,university of ontario institute of technology
201-300, ,27.5,university of patras
201-300, ,26.6,university of pisa
201-300, ,30,university of poitiers
201-300, ,30.5,"university of science, malaysia"
201-300, ,27.9,university of seville
201-300, ,29.3,university of shanghai for science and technology
201-300, ,23.3,university of sherbrooke
201-300, ,24.4,university of south carolina - columbia
201-300, ,33.8,university of strathclyde
201-300, ,33.1,university of tabriz
201-300, ,24.5,university of technology sydney
201-300, ,26.6,university of the basque country
201-300, ,31.6,university of ulsan
201-300, ,27.5,university of warwick
201-300, ,28.5,university of windsor
201-300, ,26.6,vienna university of technology
201-300, ,29.1,warsaw university of technology
201-300, ,28.4,western university
201-300, ,31.6,wroclaw university of technology
201-300, ,30.7,wuhan university
201-300, ,28.9,xiamen university
201-300, ,33,yeungnam university
201-300, ,36.5,yonsei university
